reviewerID,asin,overall,Screen,Design,Protection,Price_Quality,Power_Charging,Audio,clean_text,Camera,Bluetooth_Features,Signal_Strength,Voice_Calls,Customer_Service,Return_Policy,Overall_Experience,Signal_Range,Connection_Frequency,Battery_Life,Visibility,Microphone,User_Experience,Durability,Reliability,Belt_Clip,Blue_Light_Impact,Quality,Wind_Resistance,Bluetooth_Connectivity,Noise_Cancellation,Overall
A2YODGM5RUZ7I1,6073894996,2,,,,-0.8,-0.7,,,,,,,,,,,,,,,,,,,,,,,,
A29OXVQRZ154KX,6073894996,4,,,,-0.5,0.7,-0.8,,,,,,,,,,,,,,,,,,,,,,,
A2U5NF3IH4YVKH,6073894996,2,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
A34XJA5OE33FP1,6073894996,4,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
A2DZO8MWVM4WKD,6073894996,5,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
A3VCIEAN3NYO12,6073894996,5,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
ASRM2FSLDPXVX,6073894996,1,,,,-0.9,-0.8,,,,,,,,,,,,,,,,,,,,,,,,
A31XHOCG62WJH4,6073894996,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
A2I7NEVKSJ5UWR,6073894996,4,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
A30A04FS5YAES3,6073894996,2,,-0.8,-0.9,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,
A2Y937AV46ULWQ,6073894996,4,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2KP65JS3YY5VL,6073894996,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A2L6BH090TX9O7,6073894996,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ABDDX2PV61RMX,6073894996,4,,0.8,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,
A9VL5ER8D0K2Z,6073894996,2,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
A2NTV6MHFXP4M,6073894996,5,,0.8,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,
A10W7D1W5M4CHE,6073894996,5,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A2B8HBZPIFYRV1,6073894996,4,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,
A5A4374R8I7NB,6073894996,2,,0.7,,-0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,
A1OWZHEQ5UCSAN,6073894996,5,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A25TQLMIAPI1T6,6073894996,1,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
A382RYVVZOJ8PX,6073894996,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A3GTTANAYUVSDY,6073894996,4,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,
A16EFGT2PLZT34,6073894996,4,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
A2Q7SZISE1RXQQ,6073894996,4,,0.8,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
A8VI7KMUHI7ZH,6073894996,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A3HWOEJ6BK7B7M,6073894996,5,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,
A347LTN4RU2FL1,6073894996,4,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A2G38P52ZF5TTH,7532385086,5,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3Q6C95EFP4FEX,7532385086,3,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2GHDKZBYXGAPY,7532385086,5,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
A2Y33PMFKII0VR,7532385086,5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3S8BPAUQQLDKU,7532385086,4,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKUQOY3DJX96J,7532385086,4,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
AARIXIQYNH38W,7532385086,5,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
A11FEJGJ2YK25Z,7532385086,5,,0.9,0.8,0.95,,,,,,,,,,,,,,,,,,,,,,,,,
A2NSS0L3NIU6CN,7532385086,4,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
A1PMGOX24BWDAZ,7887421268,2,,,-0.8,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
A115GM0PI28KP5,7887421268,4,,0.8,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
A2AOF16F78BQK6,7887421268,5,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
A2LFBAQ1CPDWNY,7887421268,4,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
A22PJG27JHKWPA,7887421268,4,,0.3,-0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
A2Y33PMFKII0VR,7887421268,5,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3J38WFKNT2MFX,7887421268,2,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
A17E8FKH09XAY2,7887421268,1,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A1C71EMHZRUWNT,7887421268,5,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
AJDJ6SQUDORP6,7887421268,5,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
A1Q8EBW9PB0H93,7887421268,5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY9MQ4QNQDU5B,7887421268,5,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
A3UFJDFSLI21AT,7887421268,5,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
A205L2POTHUAR7,8199406933,4,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,
A2CCYTJQNBHFA0,8199406933,5,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A1STLXG6FB22P2,8199406933,5,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
AZOFNVDHKYKNL,8199406933,5,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,
A1W8C6YKUV2DNK,8199406933,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A1ABWKQZJZPXMG,8288853439,5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,
A2C9H5QRLXXICT,8288853439,4,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,
A3KUXQ8TR97MF9,8288853439,4,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A2A817AADURYEF,8288853439,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A3CHJDCPIUK6BZ,8288853439,4,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A12B7P0LP6OUBQ,8288853439,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
AZW6WE7UXAMU0,8288853439,1,,,,-0.8,-0.9,,,,,,,,,,,,,,,,,,,,,,,,
A1AGQVCNRY2G8G,8288853439,5,,,,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,
A3FMA2AFK85NMX,8288853439,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A2EMKC5VI5MZXB,8288853439,5,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
AR6VDRB5LTDGH,8288855504,5,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A1JXWKSVPTLYDL,8288855504,4,,-0.2,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,
A3AWPJ1XXZM6XL,8288855504,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A2RF9FHC4HC3JO,8288855504,5,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A16GNVT2QWNYPM,8288855504,5,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
A2VIMRVTUCKF9M,8288855504,4,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
A1MMMVGC7A7P1Y,8288862993,3,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A1WK0DH0W21F3G,8288862993,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
AZIN9ATSFV0ZG,8288862993,4,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
A3AKUUZ992VK0L,8288862993,5,0.0,0.0,0.0,0.8,0.0,0.0,ok so far luving it right now will last about 4 mo so you cant beat the price for it i got 4 of them,,,,,,,,,,,,,,,,,,,,,,
A3YHN4DKZS7WN,8288862993,1,0.0,0.0,0.0,-0.8,-0.9,0.0,fail junk this product must be miss labeled i can not get my samsung s2 phone to charge with this oem charger the lights are on the phone says its charging but nothing happens i am not sure if i got a defective product but it is very upsetting to sit in your car for hours and not see your phone recharge if you need a reliable charger do not purchase this product if you need a car charger for your samsung s2 i would recommend the motorola vehicle power adapter it charges fast and is dependable,,,,,,,,,,,,,,,,,,,,,,
A3KUXQ8TR97MF9,8288862993,5,0.0,0.0,0.0,0.8,0.9,0.0,great car charger a very good car charger for your phones charged my phone pretty quickly and quite affordable i recommend it to anyone to have as a back up to your charger,,,,,,,,,,,,,,,,,,,,,,
A7PK28G48DGPG,8288862993,2,0.0,0.0,0.0,-0.8,-0.7,0.0,not good the samsung car charger has stopped working within a 6 month period i thought a fuse was blown inside the unit but when i attempted to change it i ve noticed that it doesn t come apart like most vehicle chargers,,,,,,,,,,,,,,,,,,,,,,
A11DSY0LTIBIVI,8288862993,2,0.0,0.3,-0.8,0.9,-0.7,0.0,light duty failure what a great price right out of the box plug n upload sum juice don t know if dropping it repeatedly on the floorboard or occasionally stuffing it in console to hide caused failure but soon the green light failed to light and phones display showedit wasn t charging so either spend several more dollars for one witha heavier cord stronger shell or treat it as a delicate flower,,,,,,,,,,,,,,,,,,,,,,
A1LG9RKAK8NMYB,8288862993,5,0.0,0.0,0.0,0.8,0.0,0.0,beats the sprint com price sprint wanted 30 fro the same item this is oem and not third party after market bought two work great,,,,,,,,,,,,,,,,,,,,,,
A3ODQQDGMRX3UV,8288862993,1,0.0,0.0,0.0,0.0,-1.0,0.0,does not work plugged into the car and worked the first couple of days hasn t worked since my phone does not even recognize it s plugged in,,,,,,,,,,,,,,,,,,,,,,
A1JUZ1FVF06U2C,8288862993,5,0.0,0.0,0.0,0.9,0.8,0.0,good charger this charger works great i love the fact that the led on it does not light up until it is plugged into the phone great bargain,,,,,,,,,,,,,,,,,,,,,,
A1ENWO8CIT4OR6,8288862993,4,0.0,0.0,0.0,0.3,0.8,0.0,its okay though i m not a expert in cell phone chargers this thing works good but its not all fireworks and hotel parties its a charger and it works so i guess buy it,,,,,,,,,,,,,,,,,,,,,,
A2P3GMT0RCRONU,8288862993,5,0.0,0.0,0.0,0.0,0.8,0.0,car charger i used this charger for a couple of months now its a very good charger it charges my phone very quickly,,,,,,,,,,,,,,,,,,,,,,
A1USWC8QEJK6EW,8288862993,5,0.0,0.0,0.0,0.8,0.0,0.0,great it is samsung brand works with my android phones galaxy nexus 4 and galaxy s2 and s3 recommend it highly for anyone with a microusb phone,,,,,,,,,,,,,,,,,,,,,,
A21V0B910YDY65,8288862993,5,0.0,0.0,0.0,0.8,0.0,0.0,works great i needed a car charger and this was very affordable and it worksgreat the same thing from the store was three times the price,,,,,,,,,,,,,,,,,,,,,,
A2LC2M53JRXCJM,8288862993,5,0.0,0.0,0.0,0.8,0.9,0.0,good charger and great for the price good oem car charger i originally bought it for my galaxy s2 and later on that week i upgrated to the galaxy s3 and it works prefectly fine i would recommend this product,,,,,,,,,,,,,,,,,,,,,,
A8BZOX099MXQY,8288862993,3,0.0,0.0,0.0,0.0,-1.0,0.0,cool you have to hold it in a certain place in other for it to charge i ll just buy the verizon charger instead,,,,,,,,,,,,,,,,,,,,,,
A2SR7S6ZJJDGNB,8288862993,5,0.0,0.0,0.0,0.0,1.0,0.0,good charger this charger works perfectly it is the official samsung charger so i was sure it would work just fine i highly recommend it,,,,,,,,,,,,,,,,,,,,,,
A1718L78QHNDXV,8288862993,5,0.0,0.0,0.0,0.8,0.9,0.0,works as expected i use this charger with my gs2 from straight talk this charger is working as expected charges the phone fine and seems like a quality product not flimsy and cheap feeling like some chargers i have ordered in the past,,,,,,,,,,,,,,,,,,,,,,
A18ELSI3X0Y2B8,8288862993,1,0.0,0.0,0.0,-0.8,0.0,0.0,stopped working after 1 1 2 month this thing worked well when it actually functioned but today it stopped working and i am past the 30 day return window by 10 days give or take i m guessing the quality might not be great as that is why it stopped working who knows what a waste of money,,,,,,,,,,,,,,,,,,,,,,
A1U0UNOOR5RWRE,8288862993,5,0.0,0.0,0.0,-0.3,-0.5,0.0,samsung official oem car charger for your galaxy s2 phone original hope to use it soon my other one worked sometimes this one does not have the light on unless you are charging,,,,,,,,,,,,,,,,,,,,,,
A373FDWSKFUB0L,8288862993,5,0.0,0.0,0.0,0.8,0.9,0.0,insuperable es un cable para carro de excelente calidad original de samsung lo tengo algun tiempo sin ningun problema,,,,,,,,,,,,,,,,,,,,,,
AZ7KIJC9CEZY6,8288862993,5,0.0,0.0,0.0,0.8,0.9,0.0,cheap and it works i went thru 3 car charges which they all either stopped working after a few uses or never worked to begin with this car harder not only works it also charges my phone lightening fast love it love it love it if u are debating u can rest assured this thing is awesome,,,,,,,,,,,,,,,,,,,,,,
AMB8C7C3HEEIY,8288862993,1,0.0,-0.3,0.0,-0.4,-0.7,0.0,it works mostly as a conversation piece since it won t charge a thing first this is kind of cheap looking but i did try to buy the cheapest oem car charger i could for my phone so that s forgiveable the springs on the side don t have much force though so this is constantly slipping out of the 12v car port the cable is sturdy but the rubber near the connector is kind of stiff which makes charging and operating your phone on the go a bit of a hassle it s held up well since i purchased it though update stopped charging after a month,,,,,,,,,,,,,,,,,,,,,,
ANI234P9J3P5P,8288862993,5,0.0,0.0,0.0,0.8,0.0,0.0,works just fine i ve been using this for about 4 months now and it works just as it is intended i would buy again quality product the cord could stand to be a little longer but it is of a decent length,,,,,,,,,,,,,,,,,,,,,,
A37KJRTEZ2CTT8,8288878881,5,0.0,0.0,0.0,0.8,0.9,0.0,works great nice long cord does the trick bought several of these to put in diff rooms one for work,,,,,,,,,,,,,,,,,,,,,,
AZIN9ATSFV0ZG,8288878881,4,0.0,0.0,0.0,0.8,0.9,0.0,serves its purpose good charger and is perfect because it is also has a usb connection also love that it is original material it works like that too giving a quick charge when i need it,,,,,,,,,,,,,,,,,,,,,,
A2DESDFHS6DUPU,8288878881,3,0.0,0.0,0.0,-0.5,-0.3,0.0,an ok device i have had 3 phone chargers go bad in two weeks i can not say where i purchased them most chargers for cell phones are cheaply made this one is ok i guess,,,,,,,,,,,,,,,,,,,,,,
A3HGR8E77NTQPF,8288878881,3,0.0,0.0,0.0,-0.7,-0.8,0.0,be careful when buying electronics for cellphones when not from the manufacturer got this to replace a frayed oem cord the cord itself is ok however the plug that looks like oem and is stamped as such is crap took 8 times longer to charge with this unit when the cord was paired with the actual oem plug in it worked fine so if you need a cord its ok however it is definitely not oem and the plug is worthless for the price and really just needing a cord it is a good value but i am very disappointed with the false markings as oem when it is certainly not,,,,,,,,,,,,,,,,,,,,,,
ABGQ3LNDE1VM8,8288878881,1,0.0,0.0,0.0,-0.5,0.0,0.0,unfortunate item i received this product in a very timely manner which was delightful however i gave it as a gift and was embarrassed to find out it was a defective item i was reimbursed for the product but would have much rather had a product that worked the first time,,,,,,,,,,,,,,,,,,,,,,
A2YEVYLHIIOGY0,8288878881,2,0.0,0.0,0.0,-0.8,0.0,0.0,cord did not last but a few days for some reason it worked fine for a few days then i had to change to cord the charger itself working fine up to this point rather than send it back i bought another cord from sprint for 19 00,,,,,,,,,,,,,,,,,,,,,,
A1GGZSZ77NNLFM,8288878881,5,0.0,0.0,0.0,0.3,0.5,0.0,works well fast delivery works well not very long,,,,,,,,,,,,,,,,,,,,,,
A12AGWNMK0N5C3,8288878881,2,0.0,-0.8,-0.7,-0.9,-0.8,0.0,do not recomend i thought this would be a samsung product but look like a cheap counterfiet it came crushed and is slow to charge my phone,,,,,,,,,,,,,,,,,,,,,,
A2DHFLDTV8BMWK,8288878881,5,0.0,0.0,0.0,0.8,0.9,0.0,jean p review this detachable sansung galaxy s2 travel charger is simply good it works perfectly the cherry on the cake is because it is longer than the factory original l received with the phone,,,,,,,,,,,,,,,,,,,,,,
A12B7P0LP6OUBQ,8288878881,1,0.0,0.0,0.0,0.5,0.0,0.0,not very good had all the marking of a legit samsung product but the cord stop working after 3 days i m not upset because it was very inexpensive but maybe you should spend a little more and buy a better product off amazon when it did work it worked very well,,,,,,,,,,,,,,,,,,,,,,
A1EA86UX957SE2,8288878881,3,0.0,0.3,0.0,0.6,0.9,0.0,works perfect size and shape were different than expected first off the charger works just as it should and all the ports stay connected just fine people in other reviews were complaining that the cord was too short about 2 or 3 feet and that was what i was expecting instead i got a 5 foot cord which is a bit long for the purpose i was going to use it for in my car now i have a long cord dangling everywhere that extra length may be a bonus for most but i bumped down the rating due to seller s lack of description and or consistency also i m fairly certain the product image was changed because when i ordered it a different style adapter was pictured i was expecting a square shape with the usb port on the side i got the longer rectangle shape with the usb port on the end hmm there s no way to verify that now in sum good charger with good connectivity looks and acts like it s an original samsung cord length and adapter style may vary as it seems like the seller is not consistent,,,,,,,,,,,,,,,,,,,,,,
A3SMA7WR0634Q0,8288878881,5,0.0,0.0,0.0,0.8,0.9,0.0,love it it s a charger for dirt cheap and the shipping wasn t more than the item i wish they had the batteries i needed as well for my phone but great all an all,,,,,,,,,,,,,,,,,,,,,,
A3FDXCRC4LAOZP,8288878881,4,0.0,0.0,0.0,0.0,-0.5,0.0,works although i do not use the charger the cable is useful it is longer than what is given with the phone the additional length allows the phone to be placed in plain sight instead of down by the wall receptical,,,,,,,,,,,,,,,,,,,,,,
A3F2BHFD3UV3IW,8288878881,1,0.0,0.0,0.0,0.0,-1.0,0.0,it doesn t charge properly this charger doesn t charge the battery of my samsung galaxy s2 i9100 properly when i connect it to my s2 the screen gets frozen and the cell behaves in a unusual abnormal way,,,,,,,,,,,,,,,,,,,,,,
A190302PAJH16Y,8288878881,5,0.0,0.0,0.0,0.8,0.0,0.0,exactly like the original that came with the phone this charger is exactly like the original one that came with my phone it is most definitely a good buy for the price,,,,,,,,,,,,,,,,,,,,,,
ADMN7R6DT38X0,8288878881,4,0.0,0.0,0.0,1.0,1.0,0.0,good charger works good with our phones better actually than the charger that came with one of the phones initially great price,,,,,,,,,,,,,,,,,,,,,,
A2YXSM8HAXCWTN,8288878881,2,0.0,-0.5,0.0,-0.8,-0.9,0.0,wall adapter is not quick chager which the ad states it is the micro usb is useless was here right on time wall adapter what i expected and works well but dose not have quick charge as this ad states and that was the whole reason i chose this chager so that is horribly disappointing and inconvenient the micro usb is useless it looks and acts cheaply made and dose not fit well in to ports an either end will periodically stop working and my phone will freeze and turn off periodically as well i know its the usd because i tried it in several devices and adapters and it had the same problems i will never order from amazon again only two orders out of 13 have come without defect or wrong probuct ugh,,,,,,,,,,,,,,,,,,,,,,
A3L1065MO1AWUI,8288878881,4,0.0,0.0,0.0,0.8,0.9,0.0,good produce i haven t had any problems with it it just like the oringal charger that comes with the galaxy s 2,,,,,,,,,,,,,,,,,,,,,,
A1Y3YLHX4JWK6R,8288878881,3,0.0,0.0,0.0,-0.5,-0.7,0.0,correct product but i would like to start off by saying that this product is what i ordered and i have no complaints about shipping or the condition of the product when it came to my house the problem i do have is the micro usb cable that comes with the charger why is it that all of the different companies that sell chargers on amazon can get the plug part of the charger right but not the micro usb cord the cord is cheap and not the original cord that comes with the other part of the charger i am having the same issue with the charger that i ordered for my galaxy note 2 it s a very thin cord and also very short maybe a 2 21 2 foot cord and its of a cheaper quality than the part of the charger that the micro usb plugs into,,,,,,,,,,,,,,,,,,,,,,
A22UI48SFAD5T1,8288878881,5,0.0,0.0,0.0,0.3,0.0,0.0,as expected does the job thank you it did not disappoint was as expected and does the job though i am going to a new phone as the galaxy 2 has been acting up consistently shutting down by surprise etc,,,,,,,,,,,,,,,,,,,,,,
A1NQUWKK7DU6YN,8288878881,5,0.0,0.0,0.0,0.0,0.8,0.0,super long cord i love it it charges my phone quickly and the cord is super long i leave it at home but will purchase another to leave at work,,,,,,,,,,,,,,,,,,,,,,
A3D1F28RDA23QA,8288878881,1,0.0,0.0,0.0,-1.0,-1.0,0.0,not as nice as i thought it would be in a nutshell this is not an oem charger although it has the samsung markings it doesn t seat well with a samsung phone this means that it s either meant for another market or it s counterfeit with that said i wouldn t buy this again august 17 2013 updatethe seller tried to make amends by sending me three replacement chargers after using this for a while it is still garbage it does not charge my phone and in fact it drains the phone this must be a counterfeit product it has samsung markings but it does not charge the phone do not buy this product,,,,,,,,,,,,,,,,,,,,,,
A1W7T37NSUFURN,8288878881,1,0.0,0.0,-1.0,-1.0,-1.0,0.0,bad quality after 2 weeks my charger just fell apart while i was taking it from the plug not a strong charger at all i would have asked for my money but it wasn t even worth it,,,,,,,,,,,,,,,,,,,,,,
A12I9I5NS02DS3,8288878881,5,0.0,0.0,0.0,0.8,0.9,0.0,good buy i am pleased with this purchase the detachable cable option gives very good flexibility for use with other usb cable chargers good quality for a travel charger,,,,,,,,,,,,,,,,,,,,,,
A2JWEDW5FSVB0F,878968897X,5,0.0,0.8,0.9,0.0,0.9,0.0,beautiful and powerful charges me up all the way doubles my battery liek promised case protects well and the color is awesome nice,,,,,,,,,,,,,,,,,,,,,,
A8AJS1DW7L3JJ,878968897X,5,0.0,0.9,0.0,0.8,0.0,0.0,wow i love this case the color is amazing all of my friends are jealous and ask me where did i get it they are even more jealous when i tell them how much i paid for it great case powers me up and very stylish matches my 5c perfectly,,,,,,,,,,,,,,,,,,,,,,
A2YO4SCWAWNYBI,878968897X,5,0.0,0.8,0.9,0.8,0.9,0.0,awesome case much slimmer than i thought and it ads 125 battery i am charged for the full day with this case,,,,,,,,,,,,,,,,,,,,,,
A6Q0P54QSP11J,878968897X,5,0.0,0.9,0.9,0.8,1.0,0.0,fantastic case great quality product i love this case it is the perfect sidekick to an always dyeing phone now my phone is charged anywhere anytime thanks to powerbear really like the name of the case as well 5 stars deff,,,,,,,,,,,,,,,,,,,,,,
ANMATY0L0HX6Y,878968897X,5,0.0,0.9,0.8,0.0,0.7,0.0,amazing quality and beautiful case this case helps me run my day smoothly without having to worry about my phone dying plus the color is very beautiful,,,,,,,,,,,,,,,,,,,,,,
A1XBPVR8FE7TE1,878968897X,5,0.0,0.0,0.8,0.9,0.9,0.0,wife phone case bought one for me and another for the wife acts as phone protector and charging case in one hold charge all day so no complaints,,,,,,,,,,,,,,,,,,,,,,
A35C4777EXZZQH,878968897X,5,0.0,0.8,0.9,0.0,0.8,0.0,great case this powerbear case is a lifesaver charges fast always reliable i also love the glossy texture of the case highly recommend,,,,,,,,,,,,,,,,,,,,,,
ACU3LCRX4A8RV,878968897X,5,0.0,0.8,0.0,0.0,-0.5,0.0,what a pleasant color this is a very well built and designed case with a very cool and attractive color phone dies too quickly without it,,,,,,,,,,,,,,,,,,,,,,
A2G21MMNDQHZ2Y,9574442764,5,0.0,0.8,0.9,0.0,0.0,0.0,it is very cute i was surprised it game in three steps but when i put the case together and slid my phone in i loved it it is hard to get off,,,,,,,,,,,,,,,,,,,,,,
A2Q95AGNX0WPPH,9574442764,5,0.0,0.9,0.8,0.7,0.0,0.0,beautiful i was looking for something different to my wife and this case its strong and beautiful good price and i recommend it,,,,,,,,,,,,,,,,,,,,,,
A3IQESAL776DJJ,9574442764,5,0.0,0.9,0.8,0.0,0.0,0.0,love it love it this case is just what i expected and i love the design it is slim and protects my case more than i thought it would,,,,,,,,,,,,,,,,,,,,,,
A3L8SEH8LJO3Z1,9574442764,5,0.0,0.8,0.0,0.0,0.0,0.0,iphone 4 case this is really cute phone case i like it alot and it came in when it stated it would too,,,,,,,,,,,,,,,,,,,,,,
AXCWIN4F97YWR,9574442764,5,0.0,0.8,0.7,0.0,0.0,0.0,really cute really cute but the heart doesn t really show up if you have the white iphone 4 3 piece case fits like a glove looks really cute shipping took about 2 3 weeks but really enjoy the case do recommend,,,,,,,,,,,,,,,,,,,,,,
